Liquefied?;Data Class;Critical Depth Upper Bound (ft);Critical Depth Lower Bound (ft);Critical Depth (ft);Critical Depth (m);s critical depth (ft);Water Depth (ft);s water table (ft);sg1 (pcf);sv (psf);s sv (psf);sv' (psf) ;s sv' (psf);rss';rd;s rd;a max (g);s a max;Magnitude for KMw;s CSRN;D50 (mm) ;FC %;N (mean);SPT Correction (Energy+Rod length) ;(N1) 60;s (N1)60 ;V*s,40ft (fps)
No;A;16,1;5,9;11;3,4;1,7;5,9;0,3;3;1200,787402;204,8391806;883,4645669;101,2005719;0,980760222;0,75;0,03;0,47;0,07;6,53;0,06;0,09;25,25;12,95;1,44;18,6;6;*
No;A;17,5;9;13,3;4;1,4;9;0,4;3;1410;172,7442112;1144,8;88,14957799;0,96272184;0,83;0,03;0,13;0,02;6,53;0,02;0,04;83;5,4;1,31;7,1;4,1;*
No;B;9,8;6,6;8,2;2,5;0,5;6,6;0,3;3;852,7664042;67,40665852;750,5352231;38,95092313;0,876546336;0,99;0,02;0,18;0,03;6,53;0,03;0,1;18;11,25;1,47;16,6;2;*
No;A;23;13,1;18;5,5;1,6;3,3;0,3;3;2165,354331;202,0115724;1244,094488;106,4756034;0,960451115;0,80736731;0,08;0,08;0;6,1;0,01;0,12;30;5,8;1,53;8,9;3,5;490
No;B;52,5;42,7;47,6;14,5;1,6;3,3;0,3;3;5708,661417;237,7024542;2944,88189;164,4105699;0,930186183;0,491374367;0,15;0,08;0;6,1;0,01;0,17;27;3,5;1,06;3,7;0,6;490
No;B;9,8;6,6;8,2;2,5;0,5;6,6;0,3;3;852,7664042;67,40665852;750,5352231;38,95092313;0,876546336;0,98;0,01;0,16;0,02;5,9;0,02;0,1;18;11,25;1,47;16,6;2;*
No;B;5,9;1;3,5;1,1;0,8;1;0,3;3;369,8031496;90,33458577;216,7511811;42,71767891;0,911135468;0,99;0;0,17;0,03;5,9;0,04;0,01;91;2,65;1,5;4;3,4;*
No;A;17;11;14;4,3;1;1;0,4;3;1595;121,5835618;783,8;67,61647802;0,911307006;0,97;0,01;0,17;0,03;5,9;0,04;0,14;13,18;12,4;1,61;19,9;7,8;*
No;A;13;5;9;2,7;1,3;5;0,3;3;1030;161,1769214;780,4;80,71157538;0,969328307;0,93;0,01;0,09;0,01;5,9;0,01;0,11;19,75;5,4;1,47;7,9;3,8;*
No;B;18;3,3;10,7;3,3;2,5;3,3;0,3;3;1177,001312;284,0439371;716,3713911;132,4440069;0,987460808;0,9348549;0,05;0,15;0,05;7,1;0,04;0,15;5;4,4;1,79;7,9;4,8;520
No;B;34,4;26,2;30,3;9,3;1,4;3,3;0,3;3;3576,115486;183,4017969;1887,139108;114,2464611;0,932124743;0,69768621;0,12;0,15;0,05;7,1;0,04;0,42;0;13,1;1,29;16,9;4,3;520
No;B;13,1;6,6;9,8;3;1,1;5,7;3;3;1181,102362;132,9296974;925,1968504;198,6451502;0,330030443;0,999064073;0,05;0,2;0,01;7,7;0,05;-;2,67;10,3;1,56;16;2,8;875
No;A;26,2;8,2;17,2;5,3;3;5,2;3;3;2066,929134;363,0178182;1319,685039;258,0513908;0,683788327;0,917054338;0,07;0,05;0;7,7;0,01;-;66;3,65;1,43;5,2;2,1;565
No;B;24,8;11,6;18,2;5,5;2,2;4,8;3;3;2251,073064;278,4909632;1412,313768;224,5410467;0,592624818;0,972801055;0,08;0,17;0,03;7,7;0,05;-;3;17,15;1,4;24;2,9;700
No;B;18;9,8;13,9;4,3;1,4;6,6;0,4;3;1505,085302;160,0609478;1044,455381;79,52043299;0,95024344;0,97;0,03;0,09;0,01;6,2;0,02;0,07;43,5;4,45;1,39;6,2;4,7;*
No;A;22;9;15,5;4,7;2,2;3;0,4;3;1800;262,9377303;1020;131,4629819;0,978730667;0,75;0,04;0,13;0,02;6,2;0,02;0,11;26,2;7,85;1,44;11,3;5;*
No;B;18;9,8;13,9;4,3;1,4;6,6;0,4;3;1505,085302;160,0609478;1044,455381;79,52043299;0,95024344;0,94;0,03;0,2;0,03;6,54;0,03;0,07;43,5;4,45;1,39;6,2;4,7;*
No;A;16,4;5,9;11,2;3,4;1,7;5,9;0,3;3;1246,71916;220,1311608;919,160105;112,6319994;0,985560347;0,96;0,02;0,16;0,02;6,54;0,03;0,11;13;32,85;1,42;46,5;3,7;*
No;A;15,1;6;10,6;3,2;1,5;5,9;0,3;3;1103,018373;167,5640189;812,3097113;76,92156121;0,961092484;0,95;0,02;0,15;0,02;6,54;0,02;0,12;20,86;2,35;1,49;3,5;2,2;*
No;A;16,1;5,9;11;3,4;1,7;5,9;0,3;3;1200,787402;204,8391806;883,4645669;101,2005719;0,980760222;0,95;0,03;0,13;0,02;6,54;0,02;0,09;25,25;12,95;1,44;18,6;6;*
No;A;17,5;9;13,3;4;1,4;9;0,4;3;1410;172,7442112;1144,8;88,14957799;0,96272184;0,94;0,03;0,17;0,03;6,54;0,03;0,04;83;5,4;1,31;7,1;4,1;*
No;B;13;5;9;2,7;1,3;5;0,3;3;1030;161,1769214;780,4;80,71157538;0,969328307;0,95;0,03;0,16;0,05;6,54;0,03;0,11;19,75;5,4;1,47;7,9;3,8;*
No;B;9,8;6,6;8,2;2,5;0,5;6,6;0,3;3;852,7664042;67,40665852;750,5352231;38,95092313;0,876546336;0,99;0,02;0,18;0,03;6,54;0,03;0,1;18;11,25;1,47;16,6;2;*
No;B;5,9;1;3,5;1,1;0,8;1;0,3;3;369,8031496;90,33458577;216,7511811;42,71767891;0,911135468;0,99;0,01;0,19;0,03;6,54;0,04;0,01;91;2,65;1,5;4;3,4;*
No;A;17;11;14;4,3;1;1;0,4;3;1595;121,5835618;783,8;67,61647802;0,911307006;0,93;0,03;0,19;0,03;6,54;0,04;0,14;13,18;12,4;1,61;19,9;7,8;*
No;B;23;19,7;21,3;6,5;0,5;9,8;0,3;3;2616,469816;82,05293405;1899,934383;59,38708408;0,897296745;0,986764335;0,09;0,24;0,04;6,93;0,04;0,28;7;37,1;1,18;43,8;2;815
No;B;8,3;5;6,7;2;0,6;5,5;0,1;3;748,9946569;70,79179609;676,2168841;38,58280586;0,967841387;0,992931718;0,01;0,25;0,08;6,93;0,05;0,55;5;11,5;1,32;15,1;3;690
No;A;18,9;11,5;15,2;4,6;1,2;11,5;0,3;3;1572,752625;146,1093063;1342,437664;75,49511483;0,942978255;0,72;0,01;0,14;0,02;6,93;0,01;0,09;30;4,6;1,11;5,1;3,6;*
No;B;25,3;7,9;16,6;5,1;2,9;6,4;1,6;3;2038,959974;364,1348165;1405,337927;206,5274619;0,881387964;0,975154326;0,01;0,25;0,08;6,93;0,06;0,55;5;23,6;1,1;25,8;6;710
No;B;9,8;6,6;8,2;2,5;0,5;6,6;0,3;3;926,8372703;71,44092449;824,4750656;42,25668541;0,890199633;0,99;0,01;0,24;0,04;6,93;0,03;0,6;1;18,45;1,24;22,9;2;*
No;A;21;5,9;13,5;4,1;2,5;5,9;0,3;3;1592,847769;315,7572607;1121,981627;160,6913656;0,990737012;0,99;0,01;0,27;0,04;6,93;0,04;0,6;1;15,15;1,17;17,8;3,3;*
